name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,price_level
"Cine Maldà, Cinema Maldà",41.383236,2.1739,3,4.3,1264,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,Barcelona,ES,2
"Club Capitol, Font de Canaletes",41.385079,2.17044,3,4,9112,"cultural,cinemas,theatres_and_entertainments,interesting_places, fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,installation,sculptures,monuments","landmark, theatres",Barcelona,ES,2
"Building of the Royal Academy of Sciences and Arts of Barcelona, Poliorama, Reial Acadèmia de Ciències Naturals i Arts de Barcelona, Teatre Poliorama",41.384155,2.170751,3,4.6,18951,"cultural,cinemas,theatres_and_entertainments,interesting_places, historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures",theatres,Barcelona,ES,2
"Església de Sant Sever, Monument als Herois de 1809, Monument to the martyrs of independence, Àngel",41.383561,2.175729,3,5,167,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, religion,churches,interesting_places,catholic_churches","churches, monuments",Barcelona,ES,1
Font de la Portaferrissa,41.383041,2.171898,2,3.2,227,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Barcelona,ES,1
"Mare de Déu de la Mercè, Sala Parés",41.382671,2.17313,2,2.9,558,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",art gallery,Barcelona,ES,3
"A Francesc Cambó, Monument a Cambó",41.38744,2.174329,1,2.3,12,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Barcelona,ES,1
"Casa dels Canonges, Cases dels Canonges, Font del Claustre de la Catedral. Sant Jordi, Saint George’s Fountain",41.383577,2.176344,1,1.5,53,"architecture,historic_architecture,interesting_places,other_buildings_and_structures, fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",landmark,Barcelona,ES,1
"Museu Frederic Marès, Palau Reial Major, Palau Reial Major de Barcelona, Saló del Tinell",41.384329,2.177042,3,4.5,2719,"historic,monuments_and_memorials,cultural,museums,interesting_places,other_museums,monuments, palaces,architecture,historic_architecture,historic,monuments_and_memorials,cultural,museums,interesting_places,other_museums,monuments, palaces,architecture,historic_architecture,interesting_places","castles, landmark, sculptures",Barcelona,ES,2
"Font dels Sis Putti, Fountain of the Six Putti",41.387032,2.17088,1,1.8,31,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",sculptures,Barcelona,ES,2
"A Àngel Guimerà, Monument a Àngel Guimerà, Plaça del Pi, plaça del Pi",41.382404,2.173905,3,3.2,2369,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, squares,interesting_places,cultural,urban_environment","landmark, monuments",Barcelona,ES,1
"La deessa, The Goddess",41.386421,2.170102,1,2.7,76,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,Barcelona,ES,2
"Antic Teatre, L'Antic Teatre",41.387161,2.175952,3,4.8,8412,"cultural,theatres_and_entertainments,interesting_places,other_theatres, theatres_and_entertainments,cultural,interesting_places,other_theatres",theatres,Barcelona,ES,2
"Les armes del virrei, Virreina Palace",41.382549,2.17181,2,4.5,2465,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",art gallery,Barcelona,ES,3
Palau de la Música Catalana,41.387585,2.175232,3,4.1,48309,"theatres_and_entertainments,concert_halls,cultural,interesting_places",landmark,Barcelona,ES,1
"Bishops Bridge, Pont del Bisbe",41.383278,2.176443,3,3.9,1121,"other,unclassified_objects,interesting_places,tourist_object",landmark,Barcelona,ES,1
"Barcelona Erotic Museum, Erotic Museum",41.382244,2.172566,3,4.5,5887,"cultural,museums,interesting_places,other_museums",museums,Barcelona,ES,2
