name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"Creu de l'Hospital de la Santa Creu, Jardins de Rubió i Lluch, Old Hospital de la Santa Creu, Old Hospital de la Santa Creu, Barcelona",41.381002,2.17,3,4.6,1355,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, religion,other_temples,interesting_places","gardens, landmark",Barcelona,ES,religion,3,gardens,12,2,3,3,0.002214022,7.212294469,0.002211575,0.00532481,1,1,0,7,134,25,223,2,0.138314554
Teatre Romea,41.380531,2.171081,3,4.5,4040,"cultural,cinemas,theatres_and_entertainments,interesting_places",theatres,Barcelona,ES,entertainment,2,theatres,29,3,3,3,0.00049505,8.304247465,0.000494928,0.005123819,1,0,1,4,12,2,105,4,0.412391733
"Capella d'en Marcús, Farmàcia Santa Caterina",41.385843,2.179912,3,3.6,154,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, religion,churches,interesting_places,other_churches",churches,Barcelona,ES,religion,1,churches,6,2,3,3,0.006493506,5.043425117,0.006472514,0.00655425,1,1,0,8,44,6,223,4,0.015719883
"Església de Sant Agustí de Barcelona, Parròquia de Sant Agustí",41.38018,2.172096,3,4,561,"religion,churches,interesting_places,catholic_churches",churches,Barcelona,ES,religion,1,churches,6,2,3,3,0.001782531,6.33150185,0.001780944,0.005089874,1,1,0,4,62,10,223,4,0.057265288
"Carrer de Montcada, Casa Berenguer d'Aguilar, Casa Gomis, European Museum of Modern Art, Museu Etnològic i de Cultures del Món, Palau del Marquès de Lió, Picasso Museum Barcelona",41.385114,2.180737,3,4.5,39763,"cultural,urban_environment,interesting_places,squares, historic_architecture,architecture,interesting_places,other_buildings_and_structures","art gallery, museums",Barcelona,ES,urban_space,3,art gallery,1,5,3,3,7.54E-05,10.59071726,7.54E-05,0.007337013,1,0,0,8,178,28,18,3,4.058894179
"Font de les Tres Gràcies, Plaça Reial",41.380093,2.175277,3,4.4,22896,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Barcelona,ES,culture,1,landmark,15,1,3,3,4.37E-05,10.03876118,4.37E-05,0.005347259,1,0,0,8,37,7,592,15,2.337158693
"Font del Carme, Placa en memòria a les víctimes del bombardeig de Barcelona de 1938",41.381359,2.168318,1,4.5,3,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",landmark,Barcelona,ES,culture,1,landmark,15,1,3,3,0.333333333,1.386294361,0.287682072,0.006310452,1,0,0,8,83,15,592,15,0.000306231
"Monument, Plaça de George Orwell",41.380489,2.1773,2,3.8,2857,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",public sculpture,Barcelona,ES,culture,1,public sculpture,23,1,3,3,0.000350018,7.957877358,0.000349957,0.006039149,1,0,0,7,32,5,592,2,0.291634451
"Chapel of Saint Christopher, MUHBA Porta de Mar i les Termes Romanes Portuàries",41.381504,2.179097,1,2.8,32,"religion,churches,interesting_places,other_churches",landmark,Barcelona,ES,religion,1,landmark,15,2,3,3,0.03125,3.496507561,0.030771659,0.006736989,1,1,0,4,79,13,223,15,0.003266469
"Muralla romana, Roman Wall",41.382061,2.179762,3,5,307,"fortifications,defensive_walls,historic,interesting_places",landmark,Barcelona,ES,culture,1,landmark,15,1,3,3,0.003257329,5.730099783,0.003252035,0.007050572,1,0,0,4,26,4,592,15,0.031337689
"A Francesc Soler i Rovirosa, A Joan Güell i Ferrer, Jardins de la Reina Victòria, Monument a Joan Güell",41.388772,2.167454,3,1,652,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","gardens, monuments",Barcelona,ES,culture,3,gardens,12,1,3,3,0.004601227,6.481577129,0.004590674,0.006988455,1,0,0,7,103,19,592,2,0.066554309
"Jewish Historical Museum, Jewish Museum, Joods Historisch Kindermuseum, Pand met gevel onder rechte lijst met balustrade",52.367128,4.903757,3,4.2,6693,"cultural,museums,interesting_places,other_museums, historic_architecture,architecture,interesting_places,other_buildings_and_structures, museums,cultural,interesting_places,other_museums",museums,Amsterdam,NL,culture,2,museums,20,1,1,1,0.00029882,8.808966882,0.000298775,0.000583466,1,0,0,12,120,16,592,3,2.607751461
"De Dokwerker, The Dokwerker (Memories of the February strike)",52.367195,4.905015,1,2.5,95,"historic,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures",monuments,Amsterdam,NL,culture,1,monuments,18,1,1,1,0.010526316,4.564348191,0.0104713,0.001000625,1,0,0,7,61,9,592,3,0.037014252
"Moses and Aaron Church (officially Church of St. Anthony of Padua), Mozes en Aäronkerk",52.368263,4.903196,3,4.7,121,"religion,churches,interesting_places,other_churches",churches,Amsterdam,NL,religion,1,churches,6,2,1,1,0.008264463,4.804021045,0.008230499,0.001121064,1,1,0,4,86,14,223,2,0.047144468
Hortusbrug,52.36734,4.907098,1,1.3,3,"bridges,architecture,interesting_places,other_bridges",landmark,Amsterdam,NL,urban_space,1,landmark,15,5,1,1,0.333333333,1.386294361,0.287682072,0.003009253,1,0,0,4,10,1,18,4,0.001168871
"Gedenkteken voormalig Nederlands-Israëlisch jongensweeshuis, Monument Megadlé Jethomiem",52.366966,4.900983,1,1,2,"historic,cultural,urban_environment,burial_places,interesting_places,installation,war_memorials,sculptures",landmark,Amsterdam,NL,culture,1,landmark,15,1,1,1,0.5,1.098612289,0.405465108,0.003180825,1,0,0,8,87,7,592,4,0.000779247
Blauwbrug,52.366333,4.900896,3,1.2,135,"view_points,other,bridges,architecture,interesting_places,other_bridges",landmark,Amsterdam,NL,urban_space,1,landmark,15,5,1,1,0.007407407,4.912654886,0.007380107,0.003445418,1,0,0,6,9,1,18,4,0.0525992
"Tehuis en kantoorgebouw in Neo-Hollandse Renaissance stijl ten behoeve van de Van Limmikstichting, The Shadow Wall",52.365189,4.90426,1,1.4,2,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",walls,Amsterdam,NL,culture,1,walls,31,1,1,1,0.5,1.098612289,0.405465108,0.002416303,1,0,0,4,114,16,592,1,0.000779247
"Rembrandt House, Rembrandt House Museum",52.369366,4.901237,3,4,13301,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums,art_galleries",museums,Amsterdam,NL,culture,2,museums,20,1,1,1,0.000150365,9.495669679,0.000150354,0.003363856,1,0,0,7,39,5,592,3,5.182384907
"Auschwitz Memorial, Memorial to Auschwitz Victims",52.367924,4.909234,3,2.9,607,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,war_memorials,installation,monuments",monuments,Amsterdam,NL,culture,1,monuments,18,1,1,1,0.001647446,6.410174882,0.00164609,0.005144213,1,0,0,9,49,6,592,3,0.236501589
"Jewish WW2 resistance memorial, Monument to Jewish Resistance",52.367619,4.898892,1,3.3,86,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",monuments,Amsterdam,NL,culture,1,monuments,18,1,1,1,0.011627907,4.465908119,0.011560822,0.005208035,1,0,0,6,61,8,592,3,0.033507639
"Amstel 220, Amsterdam, Museum six, Six Collection",52.365024,4.90068,3,2.1,369,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, museums,cultural,interesting_places,other_museums",art gallery,Amsterdam,NL,culture,3,art gallery,1,1,1,1,0.008130081,5.913503006,0.00809721,0.004281609,1,0,0,8,49,7,592,1,0.143771147
"Herengracht 605, Amsterdam, Willet-Holthuysen, Willet-Holthuysen Museum",52.365602,4.899012,3,3.8,2626,"cultural,museums,interesting_places,art_galleries, historic_architecture,architecture,interesting_places,other_buildings_and_structures",museums,Amsterdam,NL,culture,2,museums,20,1,1,1,0.000761615,7.87359779,0.000761325,0.005466237,1,0,0,8,71,6,592,3,1.023151851
"Zuiderkerk, Zuiderkerk Tower - panoramic view from 1614 belfry, Zuiderkerkstoren",52.370256,4.89966,3,1.4,980,"architecture,towers,interesting_places,other_towers, religion,churches,interesting_places,other_churches","churches, watchtowers",Amsterdam,NL,religion,2,churches,6,2,1,1,0.002040816,6.88857246,0.002038736,0.005173774,1,1,0,8,80,10,223,2,0.381831231
Skinny Bridge,52.363583,4.902375,3,4.3,6455,"stone_bridges,bridges,interesting_places,architecture,moveable_bridges",landmark,Amsterdam,NL,urban_space,1,landmark,15,5,1,1,0.000154919,8.77276521,0.000154907,0.004371718,1,0,0,5,13,2,18,4,2.515021019
"Charing Cross, Charles I, Equestrian Statue of King Charles I, Kilometre zero plaque",51.507336,-0.127631,3,4,1008,"historic,monuments_and_memorials,interesting_places,monuments, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,London,GB,culture,2,sculptures,26,1,13,13,0.001984127,6.91671502,0.001982161,0.000180712,1,0,0,11,84,13,592,5,0.15509283
"Equestrian Statue of King George IV, Equestrian statue of George IV, Fountain of Trafaglar, Fourth Plinth, George IV, Hahn/Cock, Jellicoe Memorial Fountain, The Fourth Plinth, Trafalgar Square",51.508178,-0.128171,3,4.7,129271,"architecture,historic_architecture,interesting_places,other_buildings_and_structures, fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, urban_environment,cultural,interesting_places,squares","fountains, landmark, sculptures",London,GB,culture,2,fountains,10,1,13,13,1.55E-05,11.76967399,1.55E-05,0.000861931,1,0,0,23,192,27,592,2,19.88988614
Admiralty Arch,51.506737,-0.128626,3,3,1010,"architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,monuments,triumphal_archs",landmark,London,GB,culture,1,landmark,15,1,13,13,0.000990099,6.918695219,0.000989609,0.001059172,1,0,0,7,14,2,592,4,0.155400554
"One & Other, The Fourth Plinth",51.50819,-0.12873,3,2.9,103,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,installation,sculptures,monuments",sculptures,London,GB,culture,2,sculptures,26,1,13,13,0.019417476,4.644390899,0.019231362,0.001220246,1,0,0,8,30,6,592,5,0.015847779
Captain James Cook,51.506313,-0.129275,1,2.2,32,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.03125,3.496507561,0.030771659,0.001832265,1,0,0,7,18,3,592,14,0.004923582
"National Gallery, The National Gallery",51.508884,-0.128374,3,4.9,53708,"cultural,museums,interesting_places,art_galleries",museums,London,GB,culture,2,museums,20,1,13,13,3.72E-05,10.89133586,3.72E-05,0.001591142,1,0,0,4,38,5,592,2,8.263616781
"St Martin-in-the-Fields, St Martin-in-the-Fields Church, London",51.508831,-0.126676,3,4.7,4052,"religion,churches,interesting_places,other_churches",churches,London,GB,religion,1,churches,6,2,13,13,0.000246792,8.307212627,0.000246762,0.001819653,1,1,0,4,63,6,223,3,0.623448559
"A Conversation with Oscar Wilde, Oscar Wilde Statue",51.508701,-0.125894,1,3.4,45,"historic,cultural,urban_environment,monuments_and_memorials,burial_places,interesting_places,other_burial_places,sculptures,monuments",sculptures,London,GB,culture,2,sculptures,26,1,13,13,0.044444444,3.828641396,0.043485112,0.002307691,1,0,0,9,51,8,592,5,0.006923787
Edith Cavell Memorial,51.509323,-0.127183,1,2.1,50,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.02,3.931825633,0.019802627,0.002019559,1,0,0,9,21,3,592,14,0.007693097
National Portrait Gallery,51.509399,-0.1281,3,4.9,13970,"museums,cultural,interesting_places,art_galleries",museums,London,GB,culture,2,museums,20,1,13,13,0.000143164,9.544739032,0.000143154,0.002021386,1,0,0,4,25,3,592,2,2.149451226
"George Duke of Cambridge statue, Prince George, Duke of Cambridge",51.505222,-0.126586,1,1.2,28,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.035714286,3.36729583,0.03509132,0.002493488,1,0,0,9,65,10,592,14,0.004308134
"Carlton House, Carlton House Terrace, Duke of York Column, Duke of York Column;Frederick, Duke of York",51.506354,-0.131741,3,3.2,1308,"architecture,historic_architecture,interesting_places,destroyed_objects, cultural,urban_environment,interesting_places,squares, historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments, other,unclassified_objects,interesting_places,historic_object",monuments,London,GB,culture,1,monuments,18,1,13,13,0.000764526,7.177018766,0.000764234,0.00407745,1,0,0,21,102,16,592,14,0.20125141
