name,kind,city,country,lat,lon,rate
"59 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859116,2.350228,2
"57 rue Saint-Martin - 2-4 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859089,2.350131,2
"61 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859138,2.350247,2
Paris St Merri church main organ,"other,unclassified_objects,interesting_places,historic_object",Paris,FR,48.859211,2.35047,2
"63 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859188,2.350269,2
Stravinsky Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.859444,2.351389,3
Hôtel Le Rebours,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859402,2.35333,3
Le renard,"cultural,urban_environment,interesting_places,sculptures",Paris,FR,48.859447,2.351363,3
"6 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859123,2.350022,2
"65 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859219,2.350281,2
Lafayette Anticipations,"cultural,museums,interesting_places,other_museums",Paris,FR,48.858978,2.354768,3
Hôtel de Vibraye,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.856667,2.356667,2
"67 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859268,2.350292,2
"8 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859154,2.349947,2
"30 rue François-Miron, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.855537,2.356406,2
"69 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859329,2.350311,2
synagogue de la rue du Bourg-Tibourg,"religion,synagogues,interesting_places",Paris,FR,48.857502,2.356562,2
"28 rue du Bourg-Tibourg, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.857651,2.356492,2
"71 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859386,2.350356,2
"10 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859219,2.34985,2
Église Sainte-Marine,"religion,churches,interesting_places,other_churches",Paris,FR,48.854115,2.34954,3
"56 rue de l'Hôtel-de-Ville, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.854534,2.355622,2
"73 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859421,2.350397,2
"84 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859501,2.350633,2
"12 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859222,2.349744,2
"75 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859451,2.350408,2
Mur des Justes,"historic,monuments_and_memorials,interesting_places,monuments",Paris,FR,48.85498,2.3562,3
Pont Louis Tomlinson,"bridges,architecture,interesting_places,other_bridges",Paris,FR,48.85387,2.35445,2
Jardin du Bataillon de l'ONU,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.854343,2.355464,3
"15 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859154,2.349475,2
"86 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859554,2.350678,2
