name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"National Museum of Contemporary Art, National Museum of Contemporary Art Αthens (ΕΜΣΤ)",37.963017,23.725262,3,4.3,4505,"cultural,museums,interesting_places,art_galleries",museums,Athens,GR,culture,2,museums,20,1.0,2,2,0.0,8.41316512099219,0.0,0.02090315126960663,0,0,0,4,86,12,591.0,6,0.668622681800863
"Aghios Thomas, Goudi, Church of Saint Thomas",37.98246,23.765385,2,2.8,474,"religion,churches,interesting_places,eastern_orthodox_churches",churches,Athens,GR,religion,1,churches,6,2.0,2,2,0.0,6.163314804034641,0.0,0.03790869062629231,0,1,0,4,44,7,223.0,22,0.07035008905074563
"Alsos Neas Smyrnis, Alsos of Nea Smyrni",37.949215,23.716143,3,4.7,6159,"urban_environment,gardens_and_parks,cultural,interesting_places",parks,Athens,GR,nature,1,parks,22,4.0,2,2,0.0,8.725832056527565,0.0,0.036401973490457866,0,0,0,4,39,7,28.0,1,0.914105903931524
"Tactual Museum, Tactual Museum of Athens",37.945457,23.700027,2,1.6,143,"cultural,museums,interesting_places,art_galleries",art gallery,Athens,GR,culture,3,art gallery,1,1.0,2,2,0.02,4.969813299576001,0.019802627296179712,0.047169390265302216,0,0,0,4,40,6,591.0,3,0.0212237610427355
Zero Kilometre Stone,47.497894,19.040197,3,3.9,1237,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",public sculpture,Budapest,HU,culture,1,public sculpture,23,1.0,7,7,0.0,7.121252453244542,0.0,6.708203931451001e-06,1,0,0,7,20,3,591.0,5,0.2079341065725332
"The rabbit with checkered ears, Turul, Turul statue",47.497492,19.038794,2,3.4,714,"cultural,urban_environment,interesting_places,sculptures, historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,6.5722825426940075,0.0,0.001464001366119011,1,0,0,11,51,8,591.0,15,0.1200201714573878
"Hungarian National Gallery, Prince Eugene of Savoy, Statue of Prince Eugene of Savoy",47.49632,19.039926,3,4.9,10299,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments, national_museums,cultural,museums,interesting_places,art_galleries","landmark, monuments",Budapest,HU,culture,1,landmark,15,1.0,7,7,0.0,9.239899174217728,0.0,0.0016035822398653774,1,0,0,12,84,13,591.0,6,1.7312153303076148
"Fountain of King Matthias, Matthias Fountain",47.496136,19.039076,3,2.0,667,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Budapest,HU,culture,1,landmark,15,1.0,7,7,0.0,6.504288173536645,0.0,0.0020916672775560747,1,0,0,8,44,6,591.0,6,0.11211968398050093
"Buda Castle Chapel, Palace Chapel",47.495701,19.04076,1,2.4,50,"religion,churches,interesting_places,other_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.02,3.9318256327243257,0.019802627296179712,0.002269185096024547,1,1,0,4,33,5,223.0,13,0.008404773911581778
Széchenyi Chain Bridge,47.498978,19.04365,3,4.4,57872,"bridges,architecture,interesting_places,other_bridges",landmark,Budapest,HU,urban_space,1,landmark,15,5.0,7,7,0.0,10.966006233556,0.0,0.003614496368791251,1,0,0,4,22,3,18.0,6,9.728021516221213
"Statue Of The Independence War, Statue of Independence War",47.499561,19.035202,3,3.4,537,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,6.2878585601617845,0.0,0.005266775579039303,1,0,0,7,58,9,591.0,15,0.0902672718103883
"Budapesti Kapucinus Templom - Árpád-házi Szent Erzsébet plébánia, Saint Elizabeth of Hungary Church, Alsó-Víziváros",47.502121,19.038782,3,2.4,118,"religion,historic,churches,monuments_and_memorials,urban_environment,cultural,interesting_places,catholic_churches,sculptures,monuments",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.01,4.77912349311153,0.009950330853168083,0.004452815401518737,1,1,0,10,115,14,223.0,13,0.019835266431332998
"Castle Cave of Buda, Labyrinth",47.500114,19.034103,3,4.5,4650,"geological_formations,natural,interesting_places,caves",castles,Budapest,HU,nature,2,castles,3,4.0,7,7,0.0,8.444837529224097,0.0,0.0064865402951012245,1,0,0,4,30,5,28.0,1,0.7816439737771054
"Baron József Eötvös Statue, Eötvös József báró",47.498127,19.047428,1,4.1,80,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",sculptures,Budapest,HU,culture,2,sculptures,26,1.0,7,7,0.03,4.394449154672439,0.0295588022415444,0.007231563662169981,1,0,0,7,46,7,591.0,6,0.013447638258530846
"Count István Széchenyi Statue, Széchenyi István Square",47.500355,19.04693,1,3.8,87,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",sculptures,Budapest,HU,culture,2,sculptures,26,1.0,7,7,0.02,4.477336814478207,0.019802627296179712,0.007163792640773608,1,0,0,7,54,7,591.0,6,0.014624306606152295
"Fisherman's Bastion, Fishermans bastion, Matthias Church, The Church of Our Lady of Buda Castle",47.50213,19.034527,3,4.4,122124,"religion,mosques,cathedrals,churches,interesting_places,catholic_churches, view_points,other,interesting_places",monuments,Budapest,HU,religion,1,monuments,18,2.0,7,7,0.0,11.712800389345084,0.0,0.007076427700469745,1,1,0,9,95,14,223.0,15,20.528492183560264
"Little Princess, Little Princess Statue",47.495922,19.048193,3,4.7,1858,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,7.527793987721444,0.0,0.008234107905538147,1,0,0,7,39,5,591.0,15,0.3123213985543789
Holy Trinity Statue,47.501686,19.033512,3,3.2,316,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,5.75890177387728,0.0,0.007685254712756381,1,0,0,9,19,3,591.0,15,0.05311817112119684
"Szilágyi Dezső Square Reformed Church, Szilágyi Dezső tér Reformed Church",47.503794,19.038967,3,4.1,1756,"religion,churches,interesting_places,other_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,7.471363088187097,0.0,0.006021588245635242,1,1,0,4,73,10,223.0,13,0.2951756597747521
"Saint Catherine of Alexandria Church, Tabán, Tabán",47.492199,19.043977,3,1.1,498,"cultural,urban_environment,interesting_places,sculptures, religion,churches,interesting_places,catholic_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,6.212606095751519,0.0,0.006838649720525621,1,1,0,8,50,7,223.0,13,0.08371154815935451
Hospital in the Rock,47.500797,19.031435,3,5.0,8476,"fortifications,historic,cultural,museums,interesting_places,bunkers,other_museums",museums,Budapest,HU,culture,2,museums,20,1.0,7,7,0.0,9.045111892608405,0.0,0.009231350605409286,1,0,0,7,20,4,591.0,4,1.424777273491343
Shoes on the Danube Bank,47.503971,19.04479,3,4.1,23055,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,10.045681318239303,0.0,0.007610856784882105,1,0,0,9,24,5,591.0,15,3.875441250630358
"Rubik's Cube, Rubik's Cube mini statue by Kolodko",47.504745,19.039618,2,1.9,151,"cultural,urban_environment,interesting_places,sculptures",sculptures,Budapest,HU,culture,2,sculptures,26,1.0,7,7,0.01,5.0238805208462765,0.009950330853168083,0.006869697882729348,1,0,0,4,49,8,591.0,6,0.02538241721297697
Vörösmarty tér,47.496441,19.050682,3,4.1,15785,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",landmark,Budapest,HU,culture,1,landmark,15,1.0,7,7,0.0,9.666878750268348,0.0,0.010583052725938994,0,0,0,7,14,2,591.0,6,2.6533871238863673
Koller Gallery,47.50362,19.032827,3,3.6,441,"cultural,museums,interesting_places,art_galleries",museums,Budapest,HU,culture,2,museums,20,1.0,7,7,0.0,6.091309882077698,0.0,0.009331641281142689,1,0,0,4,14,2,591.0,4,0.07413010590015129
